"","RecordID","Polaridade","word"
"1",1,-1,"indicada"
"2",1,-1,"grammy"
"3",1,-1,"apocalipse"
"4",1,-1,"twitter"
"5",2,-1,"fracassada"
"6",2,-1,"capaz"
"7",2,-1,"acabar"
"8",2,-1,"paz"
"9",3,-1,"leo"
"10",3,-1,"picon"
"11",3,-1,"questionar"
"12",3,-1,"inquestionaveis"
"13",3,-1,"sinceramente"
"14",3,-1,"pior"
"15",4,-1,"envolver"
"16",4,-1,"anuncia"
"17",4,-1,"proximo"
"18",4,-1,"reggaeton"
"19",4,-1,"generico"
"20",5,-1,"passei"
"21",5,-1,"limite"
"22",5,-1,"compra"
"23",5,-1,"mentir"
"24",5,-1,"arrependi"
"25",5,-1,"comprado"
"26",5,-1,"ensaios"
"27",5,-1,"esgotar"
"28",6,-1,"performance"
"29",6,-1,"savage"
"30",6,-1,"fenty"
"31",7,-1,"sonhei"
"32",7,-1,"virava"
"33",7,-1,"artistas"
"34",8,-1,"puto"
"35",8,-1,"descobri"
"36",8,-1,"anitters"
"37",8,-1,"roubaram"
"38",8,-1,"meme"
"39",8,-1,"afeta"
"40",8,-1,"gremio"
"41",8,-1,"usando"
"42",8,-1,"afeta"
"43",8,-1,"parei"
"44",9,-1,"bonita"
"45",9,-1,"seila"
"46",9,-1,"orna"
"47",9,-1,"explicar"
"48",10,-1,"liguei"
"49",10,-1,"tv"
"50",10,-1,"multishow"
"51",10,-1,"reprise"
"52",10,-1,"musicaboa"
"53",10,-1,"ludmila"
"54",10,-1,"cantar"
"55",10,-1,"onda"
"56",10,-1,"voz"
"57",11,-1,"prime"
"58",11,-1,"video"
"59",11,-1,"escolhendo"
"60",11,-1,"foto"
"61",11,-1,"deus"
"62",12,-1,"dancou"
"63",12,-1,"performance"
"64",12,-1,"show"
"65",12,-1,"riri"
"66",13,-1,"enfiou"
"67",13,-1,"aya"
"68",13,-1,"nakamura"
"69",14,-1,"crossfit"
"70",14,-1,"cintura"
"71",15,-1,"mexe"
"72",15,-1,"lace"
"73",15,-1,"ajudar"
"74",15,-1,"amor"
"75",15,-1,"deus"
"76",15,-1,"lace"
"77",15,-1,"pessima"
"78",16,-1,"tento"
"79",16,-1,"consigo"
"80",16,-1,"pedro"
"81",16,-1,"sampaio"
"82",16,-1,"sonza"
"83",16,-1,"pabllovittar"
"84",16,-1,"gloria"
"85",16,-1,"musicas"
"86",16,-1,"balada"
"87",16,-1,"lgbt"
"88",16,-1,"foz"
"89",16,-1,"odio"
"90",17,-1,"rihanna"
"91",17,-1,"mandou"
"92",17,-1,"mixar"
"93",17,-1,"musica"
"94",17,-1,"direito"
"95",17,-1,"dependesse"
"96",17,-1,"propria"
"97",17,-1,"lancado"
"98",17,-1,"bosta"
"99",17,-1,"lancou"
"100",17,-1,"original"
"101",17,-1,"rihanna"
"102",17,-1,"respeitando"
"103",17,-1,"funk"
"104",17,-1,"precursora"
"105",17,-1,"genero"
"106",18,-1,"achando"
"107",18,-1,"luisa"
"108",18,-1,"gracas"
"109",18,-1,"gracinhas"
"110",18,-1,"fizeram"
"111",18,-1,"saco"
"112",18,-1,"acompanhar"
"113",19,-1,"deus"
"114",19,-1,"entendi"
"115",19,-1,"palavra"
"116",19,-1,"cantou"
"117",19,-1,"musica"
"118",19,-1,"desfile"
"119",19,-1,"riri"
"120",20,-1,"pabllovittar"
"121",20,-1,"vittar"
"122",20,-1,"luisa"
"123",20,-1,"sonza"
"124",20,-1,"provando"
"125",20,-1,"serem"
"126",20,-1,"insuportaveis"
"127",21,-1,"chuva"
"128",21,-1,"verificado"
"129",21,-1,"baderna"
"130",21,-1,"twitter"
"131",22,-1,"pantera"
"132",22,-1,"negra"
"133",22,-1,"nota"
"134",22,-1,"desfile"
"135",22,-1,"rihanna"
"136",22,-1,"nota"
"137",22,-1,","
"138",22,-1,"apresentacao"
"139",22,-1,"nota"
"140",23,-1,"explicando"
"141",23,-1,"pai"
"142",23,-1,"imagem"
"143",23,-1,"tiradentes"
"144",23,-1,"fabricada"
"145",23,-1,"parecer"
"146",23,-1,"heroismo"
"147",23,-1,"mandou"
"148",24,-1,"espero"
"149",24,-1,"faca"
"150",24,-1,"sabemos"
"151",24,-1,"estragar"
"152",24,-1,"legado"
"153",24,-1,"deixaram"
"154",24,-1,"saiu"
"155",24,-1,"modo"
"156",24,-1,"turbo"
"157",24,-1,"bomba"
"158",24,-1,"andar"
"159",24,-1,"carruagem"
"160",25,-1,"achando"
"161",25,-1,"morna"
"162",25,-1,"vma"
"163",26,-1,"imagina"
"164",26,-1,"treinar"
"165",26,-1,"ouvindo"
"166",26,-1,"nojo"
"167",26,-1,"nojo"
"168",27,-1,"senti"
"169",27,-1,"cheiro"
"170",27,-1,"perfume"
"171",27,-1,"xereca"
"172",27,-1,"pavoroso"
"173",28,-1,"burro"
"174",28,-1,"insuportavel"
"175",29,-1,"burras"
"176",29,-1,"acham"
"177",29,-1,"rihanna"
"178",29,-1,"hitou"
"179",29,-1,"causa"
"180",30,-1,"passando"
"181",30,-1,"vergonha"
"182",30,-1,"dizendo"
"183",30,-1,"funk"
"184",30,-1,"shows"
"185",30,-1,"savage"
"186",30,-1,"fenty"
"187",31,-1,"artistas"
"188",31,-1,"argumentos"
"189",31,-1,"odiar"
"190",31,-1,"supera"
"191",31,-1,"quesito"
"192",32,-1,"aguento"
"193",32,-1,"sindrome"
"194",32,-1,"ficam"
"195",32,-1,"falando"
"196",32,-1,"acontece"
"197",32,-1,"sofrendo"
"198",32,-1,"hate"
"199",32,-1,"ficam"
"200",32,-1,"bicho"
"201",32,-1,"mudo"
"202",33,-1,"odio"
"203",34,-1,"desmerecer"
"204",34,-1,"ninguem"
"205",34,-1,"gosto"
"206",34,-1,"masss"
"207",34,-1,"queria"
"208",34,-1,"ficar"
"209",34,-1,"parecendo"
"210",34,-1,"desmerecendo"
"211",35,-1,"performance"
"212",35,-1,"fenty"
"213",35,-1,"show"
"214",35,-1,"preguicosa"
"215",36,-1,"neymar"
"216",36,-1,"humanos"
"217",36,-1,"carater"
"218",37,-1,"mexeu"
"219",37,-1,"labios"
"220",37,-1,"playback"
"221",37,-1,"savagexfentyshow"
"222",38,-1,"incrivel"
"223",38,-1,"acertou"
"224",38,-1,"vom"
"225",38,-1,"deluxe"
"226",39,-1,"premiacao"
"227",39,-1,"esquisita"
"228",39,-1,"possibilidade"
"229",39,-1,"aguento"
"230",40,-1,"fato"
"231",40,-1,"cintura"
"232",40,-1,"incomoda"
"233",41,-1,"pessoa"
"234",41,-1,"fofa"
"235",41,-1,"dedica"
"236",41,-1,"musica"
"237",42,-1,"esquisita"
"238",43,-1,"estranha"
"239",44,-1,"odio"
"240",45,-1,"desmerecer"
"241",45,-1,"ninguem"
"242",45,-1,"gosto"
"243",45,-1,"masss"
"244",45,-1,"queria"
"245",45,-1,"ficar"
"246",45,-1,"parecendo"
"247",45,-1,"desmerecendo"
"248",46,-1,"enaltecer"
"249",46,-1,"sinto"
"250",46,-1,"obrigacao"
"251",46,-1,"lembrar"
"252",46,-1,"posicionamentos"
"253",46,-1,"politicos"
"254",46,-1,"h"
"255",46,-1,"eleicoes"
"256",47,1,"banheiro"
"257",47,1,"job"
"258",47,1,"dancar"
"259",47,1,"proposta"
"260",48,1,"copa"
"261",48,1,""
"262",48,1,"carreira"
"263",49,1,"inveja"
"264",49,1,"haters"
"265",49,1,"pena"
"266",50,1,"bebe"
"267",50,1,"esperando"
"268",50,1,"menina"
"269",50,1,"larissa"
"270",50,1,"homenagem"
"271",50,1,"idola"
"272",50,1,"amor"
"273",51,1,"primo"
"274",51,1,"comprou"
"275",51,1,"ingresso"
"276",51,1,"ensaio"
"277",51,1,"aniversario"
"278",51,1,"emocionada"
"279",51,1,"sonho"
"280",51,1,"amor"
"281",52,1,"musica"
"282",52,1,"gatilho"
"283",52,1,"coreografia"
"284",52,1,"treco"
"285",52,1,"lembrar"
"286",53,1,"antigas"
"287",53,1,"coracao"
"288",53,1,"lt"
"289",54,1,"venceu"
"290",54,1,"caralho"
"291",54,1,"mamacita"
"292",55,1,"maos"
"293",55,1,"entregar"
"294",55,1,"hit"
"295",55,1,"verao"
"296",56,1,"practice"
"297",56,1,"funk"
"298",57,1,"psicologicamente"
"299",57,1,"preparada"
"300",57,1,"show"
"301",58,1,"louco"
"302",58,1,"gracas"
"303",58,1,"vanderlandias"
"304",58,1,"incrivel"
"305",59,1,"passada"
"306",59,1,"farmacia"
"307",59,1,"pao"
"308",59,1,"acucar"
"309",59,1,"vendendo"
"310",59,1,"perfume"
"311",59,1,"xot"
"312",60,1,"sonho"
"313",60,1,"lancar"
"314",60,1,"veneno"
"315",60,1,"atuais"
"316",60,1,"imagina"
"317",60,1,"surto"
"318",61,1,""
"319",61,1,"arte"
"320",62,1,"queria"
"321",62,1,"levasse"
"322",62,1,"gravacao"
"323",62,1,"grammy"
"324",62,1,"latin"
"325",62,1,"fama"
"326",62,1,"felicito"
"327",63,1,"pano"
"328",63,1,"meo"
"329",63,1,"deos"
"330",64,1,"antigas"
"331",64,1,"treinar"
"332",64,1,"brabas"
"333",65,1,"envolver"
"334",65,1,"acreditava"
"335",65,1,"mudou"
"336",65,1,"carreira"
"337",65,1,"envolver"
"338",65,1,"famosa"
"339",66,1,"ganhado"
"340",66,1,"plabo"
"341",66,1,"arrasaram"
"342",66,1,"merecido"
"343",66,1,"premiacao"
"344",67,1,"indicada"
"345",67,1,"perturbar"
"346",67,1,"site"
"347",68,1,"twitter"
"348",68,1,"resume"
"349",68,1,"mauritania"
"350",68,1,"performance"
"351",69,1,"pulava"
"352",69,1,"janeiro"
"353",69,1,"ensaio"
"354",69,1,"dava"
"355",69,1,"start"
"356",69,1,"carnaval"
"357",70,1,"musicas"
"358",70,1,"antigas"
"359",70,1,"terapia"
"360",70,1,"manha"
"361",71,1,"assistindo"
"362",71,1,"savagexfentyshow"
"363",71,1,"arrasando"
"364",71,1,"brasileiros"
"365",71,1,"mexer"
"366",71,1,"bunda"
"367",71,1,"mexe"
"368",71,1,"unica"
"369",72,1,"comprei"
"370",72,1,"ingressos"
"371",72,1,"ensaio"
"372",72,1,"sp"
"373",72,1,"janeiro"
"374",72,1,"amor"
"375",73,1,"fingindo"
"376",73,1,"abracando"
"377",73,1,"video"
"378",73,1,"pegou"
"379",73,1,"queria"
"380",73,1,"abracar"
"381",73,1,"menina"
"382",73,1,"proximo"
"383",73,1,"gostosinho"
"384",73,1,"abraco"
"385",74,1,"shampoo"
"386",74,1,"caralho"
"387",74,1,"asa"
"388",74,1,"mane"
"389",74,1,"cabelo"
"390",74,1,"macio"
"391",74,1,"fina"
"392",74,1,"m_luizad"
"393",75,1,"chegou"
"394",75,1,"nivel"
"395",75,1,"amiga"
"396",75,1,"mariah"
"397",75,1,"carey"
"398",75,1,"rihanna"
"399",75,1,"madonna"
"400",75,1,"snoop"
"401",75,1,"dogg"
"402",75,1,"cardi"
"403",75,1,"blackpink"
"404",75,1,"black"
"405",75,1,"jimmy"
"406",75,1,"fallon"
"407",75,1,"christina"
"408",75,1,"aguilera"
"409",75,1,"miley"
"410",75,1,"cyrus"
"411",75,1,"nocao"
"412",75,1,"beyonce"
"413",75,1,"fechar"
"414",75,1,"lista"
"415",76,1,"puzzy"
"416",76,1,"compra"
"417",76,1,"vida"
"418",77,1,"comecei"
"419",77,1,"fenty"
"420",77,1,"savage"
"421",77,1,"venceu"
"422",77,1,"mulher"
"423",77,1,"luxo"
"424",78,1,"sonhei"
"425",78,1,"respondia"
"426",78,1,"ficava"
"427",78,1,"batendo"
"428",78,1,"papo"
"429",79,1,"feliz"
"430",79,1,"amor"
"431",80,1,"votacao"
"432",80,1,"people's"
"433",80,1,"choice"
"434",80,1,"awards"
"435",80,1,"fechou"
"436",80,1,"espero"
"437",80,1,"leve"
"438",81,1,"chato"
"439",81,1,"paz"
"440",81,1,"affs"
